Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
181,Baran,Wheat,FAQ,2315,2728,2521,12-03-2024
182,Baran,Wheat,FAQ,2430,2781,2605,03-01-2024
183,Baran,Wheat,FAQ,2428,2585,2506,09-07-2024
184,Baran,Wheat,FAQ,2250,2514,2382,07-05-2024
185,Baran,Wheat,FAQ,2295,2550,2422,01-03-2024
186,Baran,Wheat,FAQ,2340,2340,2340,06-02-2024
187,Baran,Wheat,FAQ,2276,2565,2420,21-02-2024
188,Baran,Wheat,FAQ,2668,2780,2724,26-11-2024
189,Baran,Wheat,FAQ,2300,2521,2410,16-05-2024
190,Baran,Wheat,FAQ,2291,2590,2440,23-02-2024
191,Baran,Wheat,FAQ,2445,2568,2506,15-07-2024
192,Baran,Wheat,FAQ,2678,2828,2753,09-10-2024
193,Baran,Wheat,FAQ,1900,2601,2250,04-04-2024
194,Baran,Wheat,FAQ,2650,2918,2784,08-11-2024
195,Baran,Wheat,FAQ,2268,2451,2359,11-04-2024
196,Baran,Wheat,FAQ,2796,2866,2831,12-11-2024
197,Baran,Wheat,FAQ,2240,2474,2357,28-03-2024
198,Baran,Wheat,FAQ,2748,2795,2771,29-11-2024
199,Baran,Wheat,FAQ,2500,2585,2542,25-07-2024
200,Baran,Wheat,FAQ,2185,2435,2310,29-03-2024
201,Baran,Wheat,FAQ,2798,2881,2839,31-12-2024
202,Baran,Wheat,FAQ,2001,2400,2200,13-04-2024
203,Baran,Wheat,FAQ,2498,2615,2556,07-08-2024
204,Baran,Wheat,FAQ,2476,2581,2528,24-07-2024
205,Baran,Wheat,FAQ,2583,2623,2603,13-08-2024
206,Baran,Wheat,FAQ,2361,2561,2461,18-05-2024
207,Baran,Wheat,FAQ,2321,2491,2406,08-05-2024
208,Baran,Wheat,FAQ,2705,2870,2787,07-12-2024
209,Baran,Wheat,FAQ,2525,2800,2662,16-01-2024
210,Baran,Wheat,FAQ,2380,2532,2456,31-05-2024
211,Baran,Wheat,FAQ,2565,2645,2605,04-09-2024
212,Baran,Wheat,FAQ,2695,2758,2726,25-11-2024
213,Baran,Wheat,FAQ,2621,2644,2632,04-10-2024
214,Baran,Wheat,FAQ,2498,2615,2556,28-06-2024
215,Baran,Wheat,FAQ,2302,2758,2530,09-03-2024
216,Baran,Wheat,FAQ,2450,2580,2515,04-07-2024
217,Baran,Wheat,FAQ,2681,2698,2689,05-10-2024
218,Baran,Wheat,FAQ,2754,2754,2754,11-10-2024
219,Baran,Wheat,FAQ,2750,2901,2825,06-12-2024
220,Baran,Wheat,FAQ,2608,2608,2608,09-09-2024
221,Baran,Wheat,FAQ,2740,2816,2778,14-12-2024
222,Baran,Wheat,FAQ,2462,2595,2528,29-07-2024
223,Baran,Wheat,FAQ,2401,2625,2513,25-01-2024
224,Baran,Wheat,FAQ,2744,2768,2756,28-11-2024
225,Baran,Wheat,FAQ,2580,2836,2708,18-11-2024
226,Baran,Wheat,FAQ,2600,2808,2704,22-11-2024
227,Baran,Wheat,FAQ,2413,2568,2490,02-07-2024
228,Baran,Wheat,FAQ,2380,2650,2515,12-06-2024
229,Baran,Wheat,FAQ,2500,2591,2545,27-07-2024
230,Baran,Wheat,FAQ,2570,2880,2725,04-01-2024
231,Baran,Wheat,FAQ,2295,2640,2467,01-02-2024
232,Baran,Wheat,FAQ,2140,2570,2355,26-03-2024
233,Baran,Wheat,FAQ,2527,2565,2546,23-07-2024
234,Baran,Wheat,FAQ,2360,2559,2459,25-05-2024
235,Baran,Wheat,FAQ,2544,2572,2558,06-08-2024
236,Baran,Wheat,FAQ,2409,2595,2502,17-06-2024
237,Baran,Wheat,FAQ,2255,2641,2448,08-02-2024
238,Baran,Wheat,FAQ,2440,2591,2515,08-07-2024
239,Baran,Wheat,FAQ,2500,2638,2569,27-08-2024
240,Baran,Wheat,FAQ,2322,2600,2461,02-02-2024
241,Baran,Wheat,FAQ,2420,2557,2488,20-07-2024
242,Baran,Wheat,FAQ,2527,2795,2661,23-01-2024
243,Baran,Wheat,FAQ,2335,2499,2417,17-05-2024
244,Baran,Wheat,FAQ,2745,2858,2801,07-11-2024
245,Baran,Wheat,FAQ,2300,2481,2390,21-05-2024
246,Baran,Wheat,FAQ,2475,2505,2490,25-06-2024
247,Baran,Wheat,FAQ,2750,2819,2784,05-11-2024
248,Baran,Wheat,FAQ,2360,2561,2460,15-05-2024
249,Baran,Wheat,FAQ,2696,2801,2748,15-10-2024
250,Baran,Wheat,FAQ,2260,2445,2352,09-05-2024
251,Baran,Wheat,FAQ,2200,2548,2374,05-02-2024
252,Baran,Wheat,FAQ,2763,2988,2875,06-11-2024
253,Baran,Wheat,FAQ,2336,2525,2430,20-05-2024
254,Baran,Wheat,FAQ,2134,2380,2257,17-02-2024
255,Baran,Wheat,FAQ,2455,2590,2522,03-07-2024
