Sl no.,Centre Name,,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
132,Banaskanth,,Jowar(Sorghum),5525,5625,5575,18-01-2024
133,Banaskanth,,Jowar(Sorghum),5540,5705,5622,13-02-2024
134,Banaskanth,,Jowar(Sorghum),5570,5570,5570,12-02-2024
135,Banaskanth,,Jowar(Sorghum),5585,5675,5630,23-01-2024
136,Banaskanth,,Jowar(Sorghum),5650,5695,5673,31-01-2024
137,Banaskanth,,Jowar(Sorghum),2625,2625,2625,03-07-2024
138,Banaskanth,,Jowar(Sorghum),2690,2690,2690,16-08-2024
139,Banaskanth,,Jowar(Sorghum),2000,4270,3135,19-06-2024
140,Banaskanth,,Jowar(Sorghum),2415,4400,3407.5,31-07-2024
141,Banaskanth,,Jowar(Sorghum),2505,2505,2505,30-12-2024
142,Banaskanth,,Jowar(Sorghum),3100,4150,3625,08-02-2024
143,Banaskanth,,Jowar(Sorghum),3150,4240,3695,21-06-2024
144,Banaskanth,,Jowar(Sorghum),3250,3740,3495,16-08-2024
145,Banaskanth,,Jowar(Sorghum),3250,4005,3627.5,01-08-2024
146,Banaskanth,,Jowar(Sorghum),3250,4505,3877.5,24-05-2024
147,Banaskanth,,Jowar(Sorghum),3250,5155,4202.5,10-07-2024
148,Banaskanth,,Jowar(Sorghum),3300,5125,4212.5,07-06-2024
149,Banaskanth,,Jowar(Sorghum),3500,4180,3840,08-06-2024
150,Banaskanth,,Jowar(Sorghum),3500,5255,4377.5,28-06-2024
151,Banaskanth,,Jowar(Sorghum),3525,3525,3525,21-05-2024
152,Banaskanth,,Jowar(Sorghum),3550,3590,3570,20-09-2024
153,Banaskanth,,Jowar(Sorghum),3550,4255,3902.5,29-05-2024
154,Banaskanth,,Jowar(Sorghum),3550,4675,4112.5,20-06-2024
155,Banaskanth,,Jowar(Sorghum),3555,3555,3555,01-01-2025
156,Banaskanth,,Jowar(Sorghum),3595,4925,4260,27-07-2024
