Sl no.,Centre Nane,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
188,Gonda,Masur Dal,8000,8150,8050,11-10-2024
189,Gonda,Masur Dal,8000,8150,8050,23-11-2024
190,Gonda,Masur Dal,8010,8050,8025,16-02-2024
191,Gonda,Masur Dal,8010,8050,8025,17-02-2024
192,Gonda,Masur Dal,8010,8050,8025,18-02-2024
193,Gonda,Masur Dal,8020,8075,8050,06-02-2024
194,Gonda,Masur Dal,8020,8075,8050,11-02-2024
195,Gonda,Masur Dal,8020,8075,8050,12-02-2024
196,Gonda,Masur Dal,8020,8075,8050,13-02-2024
197,Gonda,Masur Dal,8025,8070,8050,20-02-2024
198,Gonda,Masur Dal,8025,8070,8050,24-02-2024
199,Gonda,Masur Dal,8025,8070,8050,25-02-2024
200,Gonda,Masur Dal,8025,8075,8050,14-02-2024
201,Gonda,Masur Dal,8025,8075,8050,15-02-2024
202,Gonda,Masur Dal,8025,8080,8050,28-01-2024
203,Gonda,Masur Dal,8025,8080,8050,30-01-2024
204,Gonda,Masur Dal,8025,8100,8050,02-05-2024
205,Gonda,Masur Dal,8025,8100,8050,03-05-2024
206,Gonda,Masur Dal,8025,8100,8050,08-01-2024
207,Gonda,Masur Dal,8025,8100,8050,09-01-2024
208,Gonda,Masur Dal,8025,8100,8050,10-01-2024
209,Gonda,Masur Dal,8025,8100,8050,11-04-2024
210,Gonda,Masur Dal,8025,8100,8050,14-12-2024
211,Gonda,Masur Dal,8025,8100,8050,16-04-2024
212,Gonda,Masur Dal,8025,8100,8050,17-04-2024
213,Gonda,Masur Dal,8025,8100,8050,24-01-2024
214,Gonda,Masur Dal,8030,8070,8050,26-02-2024
215,Gonda,Masur Dal,8030,8075,8050,19-02-2024
216,Gonda,Masur Dal,8030,8100,8050,22-05-2024
217,Gonda,Masur Dal,8030,8100,8050,23-05-2024
218,Gonda,Masur Dal,8030,8100,8050,24-05-2024
219,Gonda,Masur Dal,8030,8100,8050,27-07-2024
220,Gonda,Masur Dal,8030,8100,8050,28-07-2024
221,Gonda,Masur Dal,8035,8100,8050,07-01-2024
222,Gonda,Masur Dal,8050,8100,8070,20-04-2024
223,Gonda,Masur Dal,8050,8120,8075,23-04-2024
224,Gonda,Masur Dal,8050,8120,8075,24-04-2024
225,Gonda,Masur Dal,8050,8125,8075,04-05-2024
226,Gonda,Masur Dal,8050,8125,8100,20-11-2024
227,Gonda,Masur Dal,8050,8130,8100,08-06-2024
228,Gonda,Masur Dal,8050,8130,8100,09-06-2024
229,Gonda,Masur Dal,8050,8150,8100,05-08-2024
230,Gonda,Masur Dal,8050,8150,8100,11-08-2024
231,Gonda,Masur Dal,8050,8150,8100,21-02-2024
232,Gonda,Masur Dal,8050,8150,8100,21-11-2024
233,Gonda,Masur Dal,8050,8150,8100,22-11-2024
234,Gonda,Masur Dal,8050,8200,8100,03-08-2024
235,Gonda,Masur Dal,8050,8200,8100,04-08-2024
