Sl no.,Centre Name,,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
104,Latur,,Jowar(Sorghum),2000,2980,2393,01-06-2024
105,Latur,,Jowar(Sorghum),2000,3201,2265,29-05-2024
106,Latur,,Jowar(Sorghum),2000,3751,2340,07-06-2024
107,Latur,,Jowar(Sorghum),2001,2250,2116,20-12-2024
108,Latur,,Jowar(Sorghum),2001,2362,2258,22-08-2024
109,Latur,,Jowar(Sorghum),2011,2400,2260,04-09-2024
110,Latur,,Jowar(Sorghum),2015,2630,2223,16-12-2024
111,Latur,,Jowar(Sorghum),2050,2350,2142,09-05-2024
112,Latur,,Jowar(Sorghum),2050,2550,2245,17-12-2024
113,Latur,,Jowar(Sorghum),2050,2660,2288,21-12-2024
114,Latur,,Jowar(Sorghum),2050,2852,2289,05-06-2024
115,Latur,,Jowar(Sorghum),2050,3151,2546,17-05-2024
116,Latur,,Jowar(Sorghum),2051,2051,2051,18-12-2024
117,Latur,,Jowar(Sorghum),2051,2700,2317,05-09-2024
118,Latur,,Jowar(Sorghum),2060,2465,2251,13-12-2024
119,Latur,,Jowar(Sorghum),2100,2300,2200,23-12-2024
120,Latur,,Jowar(Sorghum),2100,2351,2281,30-08-2024
121,Latur,,Jowar(Sorghum),2100,2400,2228,22-07-2024
122,Latur,,Jowar(Sorghum),2100,2431,2227,19-11-2024
123,Latur,,Jowar(Sorghum),2100,2471,2269,02-12-2024
124,Latur,,Jowar(Sorghum),2100,2500,2253,10-07-2024
125,Latur,,Jowar(Sorghum),2100,2530,2287,18-11-2024
126,Latur,,Jowar(Sorghum),2100,2552,2275,02-08-2024
127,Latur,,Jowar(Sorghum),2100,2800,2357,03-12-2024
128,Latur,,Jowar(Sorghum),2100,2900,2317,31-05-2024
129,Latur,,Jowar(Sorghum),2100,3125,2395,27-06-2024
130,Latur,,Jowar(Sorghum),2100,3150,2511,25-05-2024
131,Latur,,Jowar(Sorghum),2101,2451,2230,10-12-2024
132,Latur,,Jowar(Sorghum),2111,2800,2367,02-07-2024
133,Latur,,Jowar(Sorghum),2111,3051,2344,22-06-2024
134,Latur,,Jowar(Sorghum),2121,2725,2337,11-07-2024
135,Latur,,Jowar(Sorghum),2122,2551,2268,11-12-2024
136,Latur,,Jowar(Sorghum),2141,2400,2237,04-12-2024
137,Latur,,Jowar(Sorghum),2150,2500,2318,27-07-2024
138,Latur,,Jowar(Sorghum),2150,2600,2417,06-07-2024
139,Latur,,Jowar(Sorghum),2150,2700,2301,20-07-2024
140,Latur,,Jowar(Sorghum),2150,2700,2350,28-06-2024
141,Latur,,Jowar(Sorghum),2151,2475,2257,26-11-2024
142,Latur,,Jowar(Sorghum),2170,2170,2170,03-07-2024
143,Latur,,Jowar(Sorghum),2200,2300,2257,01-08-2024
144,Latur,,Jowar(Sorghum),2200,2315,2269,24-08-2024
145,Latur,,Jowar(Sorghum),2200,2350,2278,24-07-2024
146,Latur,,Jowar(Sorghum),2200,2402,2297,28-08-2024
147,Latur,,Jowar(Sorghum),2225,2461,2290,19-09-2024
148,Latur,,Jowar(Sorghum),2250,2300,2275,03-09-2024
149,Latur,,Jowar(Sorghum),2250,2440,2284,20-09-2024
150,Latur,,Jowar(Sorghum),2270,2425,2309,26-08-2024
151,Latur,,Jowar(Sorghum),2300,2500,2367,13-09-2024
152,Latur,,Jowar(Sorghum),2375,2375,2375,25-07-2024
153,Latur,,Jowar(Sorghum),2850,2850,2850,12-07-2024
154,Latur,,Jowar(Sorghum),1700,1700,1700,05-03-2024
155,Latur,,Jowar(Sorghum),1700,2500,2100,01-03-2024
156,Latur,,Jowar(Sorghum),1700,3600,2650,12-02-2024
157,Latur,,Jowar(Sorghum),1700,4775,3237,18-01-2024
158,Latur,,Jowar(Sorghum),1725,1800,1762,13-05-2024
159,Latur,,Jowar(Sorghum),1750,3100,2425,11-05-2024
160,Latur,,Jowar(Sorghum),1750,3200,2475,14-05-2024
161,Latur,,Jowar(Sorghum),1751,3010,2380,09-05-2024
162,Latur,,Jowar(Sorghum),1800,2070,1935,25-11-2024
163,Latur,,Jowar(Sorghum),1800,2080,1940,24-10-2024
164,Latur,,Jowar(Sorghum),1800,2126,1963,22-10-2024
165,Latur,,Jowar(Sorghum),1800,2360,2080,04-12-2024
166,Latur,,Jowar(Sorghum),1800,2500,2150,28-02-2024
167,Latur,,Jowar(Sorghum),1800,2650,2225,22-05-2024
168,Latur,,Jowar(Sorghum),1800,3000,2400,25-05-2024
169,Latur,,Jowar(Sorghum),1800,3051,2425,21-05-2024
170,Latur,,Jowar(Sorghum),1800,3151,2475,15-05-2024
171,Latur,,Jowar(Sorghum),1800,3300,2550,16-05-2024
172,Latur,,Jowar(Sorghum),1850,1900,1875,15-10-2024
173,Latur,,Jowar(Sorghum),1850,2150,2000,05-11-2024
174,Latur,,Jowar(Sorghum),1850,2150,2000,26-10-2024
175,Latur,,Jowar(Sorghum),1850,2350,2100,01-01-2025
176,Latur,,Jowar(Sorghum),1850,2400,2125,27-05-2024
